J0010-4153,0008-421,0:10:53,-41:53:11,2.63400,0.00830,1.00470,-0.02320
J0022+0014,0019-000,0:22:25,+00:14:56.163,2.00370,0.00630,1.01300,-0.01100
J0024-4202,0022-423,0:24:43,-42:02:04,3.21400,0.01170,1.00650,0.07080
J0025-2602,0023-263,0:25:49,-26:02:13,6.15400,0.02070,1.01130,-0.02430
J0059+0006,0056-001,0:59:06,+00:06:51.621,2.06530,0.01000,1.01950,-0.25410
J0108+0134,0106+013,1:08:39,+01:35:0.317,4.85730,0.06230,1.05250,0.96060
J0137+3309,3C48,1:37:41,+33:09:35.134,10.26100,0.10500,1.00710,0.00930
J0155-4048,0153-410,1:55:37,-40:48:42,1.82370,0.00500,1.01280,0.04050
J0203-4349,0201-440,2:03:41,-43:49:51,1.79900,0.01970,1.17660,0.57890
J0210-5101,0208-512,2:10:46,-51:01:02,3.32970,0.03230,1.05100,0.90690
J0238+1636,0235+164,2:38:39,+16:36:59.275,2.10870,0.00600,1.00910,-0.00430
J0240-2309,0237-233,2:40:08,-23:09:16,5.30030,0.05300,1.00200,0.04570
J0252-7104,0252-712,2:52:46,-71:04:35,3.32230,0.01170,1.00430,-0.01600
J0303-6211,0302-623,3:03:51,-62:11:26,2.61970,0.01870,1.00580,0.17570
J0318+1628,CTA21,3:18:58,+16:28:32.678,5.32870,0.02600,1.00270,-0.03740
J0323+0534,0320+053,3:23:20,+05:34:11.891,1.65270,0.00400,1.01310,-0.00160
J0403+2600,0400+258,4:03:06,+26:00:1.503,1.30300,0.00570,1.00780,-0.05950
J0405-1308,0403-132,4:05:34,-13:08:14,3.42330,0.02700,1.07120,-0.08750
J0409-1757,0406-180,4:09:07,-17:57:10,1.43770,0.00200,1.01970,-0.00840
J0420-6223,0420-625,4:20:56,-62:23:39,1.88200,0.00470,1.04120,0.05620
J0423-0120,0420-014,4:23:16,-1:20:33,3.07670,0.01000,1.00720,0.08910
J0431+2037,0428+205,4:31:04,+20:37:34.265,3.61770,0.00900,1.00190,-0.04520
J0440-4333,0438-436,4:40:17,-43:33:09,2.87770,0.01970,1.03610,0.07700
J0453-2807,0451-282,4:53:15,-28:07:37,1.84800,0.01070,1.02710,-0.48980
J0503+0203,0500+019,5:03:21,+02:03:4.677,2.73470,0.00970,1.00440,-0.03030
J0521+1638,3C138,5:21:10,+16:38:22.052,6.38630,0.13600,1.01720,0.24070
J0534+1927,0531+194,5:34:45,+19:27:21.486,4.18300,0.02870,1.01210,0.14820
J0538-4405,0537-441,5:38:50,-44:05:09,3.45270,0.01800,1.01690,0.01520
J0609-1542,0607-157,6:09:41,-15:42:41,4.16170,0.01970,1.00280,0.10070
J0616-3456,0614-349,6:16:36,-34:56:17,2.30870,0.00430,1.01560,0.02220
J0632+1022,0629+104,6:32:15,+10:22:1.676,1.62800,0.01530,1.01440,-0.02890
J0725-0054,0723-008,7:25:51,-0:54:57,7.53330,0.06300,1.00790,0.11160
J0730-1141,0727-115,7:30:19,-11:41:13,3.42470,0.01530,1.00810,-0.02160
J0735-1735,0733-174,7:35:46,-17:35:49,2.33130,0.00870,1.00670,0.12160
J0739+0137,0736+017,7:39:18,+01:37:4.618,1.53170,0.00670,1.01820,-0.01160
J0745+1011,0742+103,7:45:33,+10:11:12.692,4.15870,0.01670,1.00160,0.06950
J0828-3731,0826-373,8:28:05,-37:31:06,2.33570,0.00670,1.00280,0.00510
J0854+2006,OJ287,8:54:49,+20:06:30.641,5.09330,0.05170,1.00500,-0.01100
J1008+0730,3C237,10:08:00,+07:30:16.552,3.88430,0.05300,1.12080,-0.30150
J1058+0133,1055+018,10:58:30,+01:33:58.824,4.28700,0.03700,1.01190,0.32940
J1609+2641,CTD93,16:09:13,+26:41:29.036,3.03600,0.00300,1.00400,0.41180
J1733-1304,NRAO530,17:33:03,-13:04:50,5.46000,0.03900,1.03180,0.48560
J1830-3602,1827-360,18:30:59,-36:02:30,2.83150,0.00850,1.00830,0.01730
J1833-2103,1830-210,18:33:40,-21:03:40,12.91800,0.31200,1.07280,0.17390
J1911-2006,1908-201,19:11:10,-20:06:55,3.22950,0.00850,1.00540,-0.03280
J1924-2914,OV-236,19:24:51,-29:14:30,7.32000,0.03300,1.00770,0.04910
J2011-0644,2008-068,20:11:14,-6:44:04,2.02000,0.00300,1.04130,-0.55270
J2130+0502,2128+048,21:30:33,+05:02:17.475,2.78000,0.00200,1.00500,-0.04850
J2131-1207,2128-123,21:31:35,-12:07:05,2.31000,0.00300,1.00910,0.03060
J2134-0153,2131-021,21:34:10,-1:53:17,1.95600,0.02000,1.01460,1.01930
J2136+0041,2134+004,21:36:39,+00:41:54.213,9.70000,0.01900,1.00120,-0.00370
J2148+0657,2145+067,21:48:05,+06:57:38.604,2.90700,0.00400,1.00220,0.05830
J2152-2828,2149-287,21:52:04,-28:28:28,1.82300,0.02900,1.12310,0.94120
J2158-1501,2155-152,21:58:06,-15:01:09,4.90000,0.03700,1.02140,0.12010
J2206-1835,2203-188,22:06:10,-18:35:39,5.18100,0.02600,1.01310,-0.10010
J2212+0152,2210+016,22:12:38,+01:52:51.191,1.84800,0.00100,1.00380,-0.08870
J2214-3835,2211-388,22:14:39,-38:35:45,1.21300,0.00100,1.00970,-0.03020
J2225-0457,3C446,22:25:47,-4:57:01,5.83500,0.05200,1.00700,0.96780
J2232+1143,CTA102,22:32:36,+11:43:50.904,4.99200,0.04700,1.00720,-0.07430
J2236+2828,2234+282,22:36:22,+28:28:57.413,1.62100,0.00100,1.00620,0.21670
J2246-1206,2243-123,22:46:18,-12:06:51,1.90100,0.00300,1.00740,-0.18600
J2253+1608,3C454.3,22:53:58,+16:08:53.561,14.60500,0.18500,1.01480,0.72140
J1120-2508,1117-248,11:20:09,-25:08:08,1.17800,0.01700,1.01170,-0.10340
J1130-1449,1127-145,11:30:07,-14:49:27,4.14500,0.10000,1.00770,-0.03390
J1154-3505,1151-348,11:54:22,-35:05:29,4.68200,0.13400,1.00720,-0.01900
J1215-1731,1213-172,12:15:47,-17:31:45,2.71300,0.05200,1.00930,0.14910
J1239-1023,1237-101,12:39:43,-10:23:29,1.48600,0.01700,1.04200,-0.22680
J1311-2216,3C283,13:11:39,-22:16:42,2.45400,0.04800,1.07960,-0.32430
J1318-4620,1315-460,13:18:30,-46:20:35,1.27300,0.01500,1.01220,0.04200
J1323-4452,1320-446,13:23:04,-44:52:34,1.87000,0.02700,1.00560,0.22070
J1337-1257,1334-127,13:37:40,-12:57:25,2.39300,0.03900,1.03930,1.32900
J1347+1217,1345+125,13:47:33,+12:17:24.240,4.33800,0.04600,1.00510,0.03250
J1427-4206,1424-418,14:27:56,-42:06:19,2.86600,0.04800,1.02140,-0.17520
J1445+0958,OQ172,14:45:16,+09:58:36.073,1.53300,0.00800,1.00800,-0.07860
J1501-3918,1458-391,15:01:35,-39:18:39,2.02900,0.02700,1.00650,-0.05320
J1512-0906,1510-089,15:12:51,-9:06:00,4.23400,0.05300,1.02850,-0.52200
J1517-2422,ApLib,15:17:42,-24:22:19,2.42700,0.02900,1.02460,-0.02680
J1550+0527,1548+056,15:50:35,+05:27:10.448,2.79400,0.02500,1.01660,-0.03570
J1726-5529,1722-554,17:26:50,-55:29:40,3.97500,0.04100,1.00560,0.02410
