J0010-4153,0008-421,00:10:53,-41:53:11,5.783 +/- 0.072 Jy,
J0022+0014,0019-000,00:22:25,+00:14:56.163,3.209 +/- 0.030 Jy,
J0025-2602,0023-263,00:25:49,-26:02:13,10.813 +/- 0.181 Jy,
J0059+0006,0056-001,00:59:06,+00:06:51.621,2.820 +/- 0.024 Jy,
J0137+3309,3C48,01:37:41,+33:09:35.134,21.497 +/- 0.560 Jy,
J0203-4349,0201-440,02:03:41,-43:49:51,3.548 +/- 0.030 Jy,
J0210-5101,0208-512,02:10:46,-51:01:02,2.816 +/- 0.031 Jy,
J0240-2309,0237-233,02:40:08,-23:09:16,5.397 +/- 0.056 Jy,
J0252-7104,0252-712,02:52:46,-71:04:35,7.968 +/- 0.102 Jy,
J0303-6211,0302-623,03:03:51,-62:11:26,2.261 +/- 0.017 Jy,
J0318+1628,CTA21,03:18:58,+16:28:32.678,8.426 +/- 0.112 Jy,
J0323+0534,0320+053,03:23:20,+05:34:11.891,3.752 +/- 0.034 Jy,
J0405-1308,0403-132,04:05:34,-13:08:14,4.603 +/- 0.052 Jy,
J0408-6545,0408-658,04:08:20,-65:45:09,23.560 Jy
J0409-1757,0406-180,04:09:07,-17:57:10,2.966 +/- 0.022 Jy,
J0420-6223,0420-625,04:20:56,-62:23:39,4.856 +/- 0.046 Jy,
J0423-0120,0420-014,04:23:16,-01:20:33,1.075 +/- 0.009 Jy,
J0431+2037,0428+205,04:31:04,+20:37:34.265,3.412 +/- 0.031 Jy,
J0440-4333,0438-436,04:40:17,-43:33:09,4.560 +/- 0.039 Jy,
J0447-2203,0445-221,04:47:37,-22:03:37,2.791 +/- 0.020 Jy,
J0453-2807,0451-282,04:53:15,-28:07:37,2.136 +/- 0.017 Jy,
J0521+1638,3C138,05:21:10,+16:38:22.052,9.978 +/- 0.134 Jy,
J0538-4405,0537-441,05:38:50,-44:05:09,2.029 +/- 0.014 Jy,
J0609-1542,0607-157,06:09:41,-15:42:41,1.811 +/- 0.011 Jy,
J0616-3456,0614-349,06:16:36,-34:56:17,3.373 +/- 0.012 Jy,
J0632+1022,0629+104,06:32:15,+10:22:1.676,2.555 +/- 0.013 Jy,
J0730-1141,0727-115,07:30:19,-11:41:13,2.538 +/- 0.013 Jy,
J0735-1735,0733-174,07:35:46,-17:35:49,2.763 +/- 0.011 Jy,
J0825-5010,0823-500,08:25:27,-50:10:38,1.000 Jy
J0828-3731,0826-373,08:28:05,-37:31:06,1.576 +/- 0.006 Jy,
J0854+2006,OJ287,08:54:49,+20:06:30.641,1.768 +/- 0.009 Jy,
J0906-6829,0906-682,09:06:52,-68:29:40,2.719 +/- 0.011 Jy,
J0943-7620,0943-761,09:43:24,-76:20:10,2.599 +/- 0.015 Jy,
J1008+0730,3C237,10:08:00,+07:30:16.552,8.774 +/- 0.049 Jy,
J1018-3144,1015-314,10:18:09,-31:44:14,4.808 +/- 0.032 Jy,
J1051-2023,1049-201,10:51:32,-20:23:47,2.133 +/- 0.013 Jy,
J1058+0133,1055+018,10:58:30,+01:33:58.824,3.415 +/- 0.048 Jy,
J1120+1420,1117+146,11:20:28,+14:20:54.973,2.825 +/- 0.012 Jy,
J1130-1449,1127-145,11:30:07,-14:49:27,4.813 +/- 0.037 Jy,
J1150-0023,1148-001,11:50:44,-00:23:54,3.026 +/- 0.014 Jy,
J1154-3505,1151-348,11:54:22,-35:05:29,7.389 +/- 0.051 Jy,
J1215-1731,1213-172,12:15:47,-17:31:45,1.851 +/- 0.007 Jy,
J1218-4600,1215-457,12:18:06,-46:00:29,6.137 +/- 0.039 Jy,
J1235-4153,1232-416,12:35:42,-41:53:13,2.635 +/- 0.011 Jy,
J1239-1023,1237-101,12:39:43,-10:23:29,1.779 +/- 0.019 Jy,
J1256-0547,3C279,12:56:11,-05:47:22,10.391 +/- 0.513 Jy,
J1311-2216,3C283,13:11:39,-22:16:42,8.573 +/- 0.063 Jy,
J1318-4620,1315-460,13:18:30,-46:20:35,3.210 +/- 0.018 Jy,
J1330+2509,3C287,13:30:38,+25:09:10.944,8.816 +/- 0.045 Jy,
J1331+3030,3C286,13:31:08,+30:30:32.959,19.138 Jy
J1347+1217,1345+125,13:47:33,+12:17:24.240,6.370 +/- 0.021 Jy,
J1424-4913,1421-490,14:24:32,-49:13:50,9.590 +/- 0.131 Jy,
J1427-4206,1424-418,14:27:56,-42:06:19,3.879 +/- 0.017 Jy,
J1501-3918,1458-391,15:01:35,-39:18:39,3.844 +/- 0.020 Jy,
J1517-2422,ApLib,15:17:42,-24:22:19,2.512 +/- 0.023 Jy,
J1550+0527,1548+056,15:50:35,+05:27:10.448,2.762 +/- 0.014 Jy,
J1605-1734,1602-174,16:05:02,-17:34:14,2.412 +/- 0.019 Jy,
J1609+2641,CTD93,16:09:13,+26:41:29.036,4.820 +/- 0.021 Jy,
J1619-8418,1607-841,16:19:34,-84:18:19,2.464 +/- 0.007 Jy,
J1726-5529,1722-554,17:26:50,-55:29:40,4.757 +/- 0.020 Jy,
J1733-1304,NRAO530,17:33:03,-13:04:50,7.172 +/- 0.124 Jy,
J1744-5144,1740-517,17:44:25,-51:44:44,7.022 +/- 0.027 Jy,
J1818-5158,1814-519,18:18:07,-51:58:10,6.129 +/- 0.027 Jy,
J1819-6345,1814-637,18:19:35,-63:45:48,19.361 +/- 0.263 Jy,
J1830-3602,1827-360,18:30:59,-36:02:30,12.859 +/- 0.051 Jy,
J1833-2103,1830-210,18:33:40,-21:03:40,11.213 +/- 0.064 Jy,
J1835-7149,1829-718,18:35:37,-71:49:58,3.314 +/- 0.025 Jy,
J1859-6615,1854-663,18:59:58,-66:15:02,2.413 +/- 0.008 Jy,
J1911-2006,1908-201,19:11:10,-20:06:55,2.412 +/- 0.011 Jy,
J1924-2914,OV-236,19:24:51,-29:14:30,4.340 +/- 0.056 Jy,
J1937-5838,1933-587,19:37:32,-58:38:28,4.327 +/- 0.060 Jy,
J1939-6342,1934-638,19:39:25,-63:42:46,13.962 Jy
J2052-3640,2049-368,20:52:17,-36:40:30,2.553 +/- 0.012 Jy,
J2056-4714,2052-474,20:56:16,-47:14:48,2.227 +/- 0.024 Jy,
J2130+0502,2128+048,21:30:33,+05:02:17.475,4.675 +/- 0.031 Jy,
J2131-2036,2128-208,21:31:01,-20:36:56,3.287 +/- 0.015 Jy,
J2148+0657,2145+067,21:48:05,+06:57:38.604,3.393 +/- 0.022 Jy,
J2152-2828,2149-287,21:52:04,-28:28:28,4.050 +/- 0.030 Jy,
J2158-1501,2155-152,21:58:06,-15:01:09,4.382 +/- 0.068 Jy,
J2205-5517,2201-555,22:05:05,-55:17:44,2.964 +/- 0.015 Jy,
J2206-1835,2203-188,22:06:10,-18:35:39,7.605 +/- 0.062 Jy,
J2212+0152,2210+016,22:12:38,+01:52:51.191,3.965 +/- 0.031 Jy,
J2225-0457,3C446,22:25:47,-04:57:01,9.915 +/- 0.143 Jy,
J2229-3823,2226-386,22:29:47,-38:24:00,3.817 +/- 0.024 Jy,
J2232+1143,CTA102,22:32:36,+11:43:50.904,8.620 +/- 0.088 Jy,
J2253+1608,3C454.3,22:53:58,+16:08:53.561,17.943 +/- 0.546 Jy,
J2254+2445,2251+244,22:54:09,+24:45:23.423,2.272 +/- 0.019 Jy,
J2302-3718,2259-375,23:02:24,-37:18:07,4.332 +/- 0.023 Jy,
J2314-4455,2311-452,23:14:09,-44:55:49,2.919 +/- 0.019 Jy,
J2326-4027,2323-407,23:26:34,-40:27:16,5.267 +/- 0.099 Jy,
